origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"18","18",,0.0000000,,
"18","19",,0.0000000,,
"18","16",,0.0000000,,
"18","17",,0.0000000,,
"18","22",,0.0000000,,
"18","23",,0.0000000,,
"18","20",,0.0000000,,
"18","21",,0.0000000,,
"18","26",,0.0000000,,
"18","24",30.1064169,12584.7730226,109.5902272,12724.4696667
"18","25",30.1064169,97185.8820111,45.4767248,97261.4651528
"18","2",30.1064169,97185.8820111,45.4767248,97261.4651528
"18","3",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","1",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","6",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","7",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","4",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","5",30.1064169,31162.4516724,427.1574403,31619.7155296
"18","10",30.1064169,31162.4516724,427.1574403,31619.7155296
"18","11",30.1064169,31162.4516724,427.1574403,31619.7155296
"18","8",30.1064169,79466.8571529,44.8037702,79541.7673400
"18","9",30.1064169,79466.8571529,44.8037702,79541.7673400
"18","14",30.1064169,79466.8571529,44.8037702,79541.7673400
"18","15",30.1064169,79466.8571529,44.8037702,79541.7673400
"18","12",30.1064169,79466.8571529,44.8037702,79541.7673400
"18","13",30.1064169,57580.5490519,24.8670046,57635.5224734
"19","18",30.1064169,57580.5490519,24.8670046,57635.5224734
"19","19",30.1064169,0.0000000,24.8670046,57635.5224734
"19","16",30.1064169,0.0000000,24.8670046,57635.5224734
"19","17",30.1064169,0.0000000,24.8670046,57635.5224734
"19","22",30.1064169,0.0000000,24.8670046,57635.5224734
"19","23",30.1064169,0.0000000,24.8670046,57635.5224734
"19","20",30.1064169,0.0000000,24.8670046,57635.5224734
"19","21",30.1064169,0.0000000,24.8670046,57635.5224734
"19","26",30.1064169,0.0000000,24.8670046,57635.5224734
"19","24",30.1064169,0.0000000,24.8670046,57635.5224734
"19","25",30.1064169,0.0000000,24.8670046,57635.5224734
"19","2",30.1064169,0.0000000,24.8670046,57635.5224734
"19","3",30.1064169,0.0000000,24.8670046,57635.5224734
"19","1",30.1064169,0.0000000,24.8670046,57635.5224734
"19","6",30.1064169,0.0000000,24.8670046,57635.5224734
"19","7",30.1064169,0.0000000,24.8670046,57635.5224734
"19","4",30.1064169,0.0000000,24.8670046,57635.5224734
"19","5",30.1064169,0.0000000,24.8670046,57635.5224734
"19","10",30.1064169,0.0000000,24.8670046,57635.5224734
"19","11",30.1064169,0.0000000,24.8670046,57635.5224734
"19","8",30.1064169,0.0000000,24.8670046,57635.5224734
"19","9",30.1064169,0.0000000,24.8670046,57635.5224734
"19","14",30.1064169,0.0000000,24.8670046,57635.5224734
"19","15",30.1064169,0.0000000,24.8670046,57635.5224734
"19","12",30.1064169,0.0000000,24.8670046,57635.5224734
"19","13",30.1064169,0.0000000,24.8670046,57635.5224734
"16","18",30.1064169,0.0000000,24.8670046,57635.5224734
"16","19",30.1064169,0.0000000,24.8670046,57635.5224734
"16","16",30.1064169,0.0000000,24.8670046,57635.5224734
"16","17",30.1064169,0.0000000,24.8670046,57635.5224734
"16","22",30.1064169,0.0000000,24.8670046,57635.5224734
"16","23",30.1064169,0.0000000,24.8670046,57635.5224734
"16","20",30.1064169,0.0000000,24.8670046,57635.5224734
"16","21",30.1064169,0.0000000,24.8670046,57635.5224734
"16","26",30.1064169,0.0000000,24.8670046,57635.5224734
"16","24",30.1064169,0.0000000,24.8670046,57635.5224734
"16","25",30.1064169,0.0000000,24.8670046,57635.5224734
"16","2",30.1064169,0.0000000,24.8670046,57635.5224734
"16","3",30.1064169,0.0000000,24.8670046,57635.5224734
"16","1",30.1064169,0.0000000,24.8670046,57635.5224734
"16","6",30.1064169,0.0000000,24.8670046,57635.5224734
"16","7",30.1064169,0.0000000,24.8670046,57635.5224734
"16","4",30.1064169,0.0000000,24.8670046,57635.5224734
"16","5",30.1064169,0.0000000,24.8670046,57635.5224734
"16","10",30.1064169,0.0000000,24.8670046,57635.5224734
"16","11",30.1064169,0.0000000,24.8670046,57635.5224734
"16","8",30.1064169,0.0000000,24.8670046,57635.5224734
"16","9",30.1064169,0.0000000,24.8670046,57635.5224734
"16","14",30.1064169,0.0000000,24.8670046,57635.5224734
"16","15",30.1064169,0.0000000,24.8670046,57635.5224734
"16","12",30.1064169,0.0000000,24.8670046,57635.5224734
"16","13",30.1064169,0.0000000,24.8670046,57635.5224734
"17","18",30.1064169,0.0000000,24.8670046,57635.5224734
"17","19",30.1064169,0.0000000,24.8670046,57635.5224734
"17","16",30.1064169,0.0000000,24.8670046,57635.5224734
"17","17",30.1064169,0.0000000,24.8670046,57635.5224734
"17","22",30.1064169,0.0000000,24.8670046,57635.5224734
"17","23",30.1064169,0.0000000,24.8670046,57635.5224734
"17","20",30.1064169,0.0000000,24.8670046,57635.5224734
"17","21",30.1064169,0.0000000,24.8670046,57635.5224734
"17","26",30.1064169,0.0000000,24.8670046,57635.5224734
"17","24",30.1064169,0.0000000,24.8670046,57635.5224734
"17","25",30.1064169,0.0000000,24.8670046,57635.5224734
"17","2",30.1064169,0.0000000,24.8670046,57635.5224734
"17","3",30.1064169,0.0000000,24.8670046,57635.5224734
"17","1",30.1064169,0.0000000,24.8670046,57635.5224734
"17","6",415.8261303,139766.0381628,352.4367885,140534.3010817
"17","7",415.8261303,139766.0381628,352.4367885,140534.3010817
"17","4",415.8261303,139766.0381628,352.4367885,140534.3010817
"17","5",415.8261303,139766.0381628,352.4367885,140534.3010817
"17","10",415.8261303,139766.0381628,352.4367885,140534.3010817
"17","11",415.8261303,155706.0307188,0.0000000,156121.8568492
"17","8",415.8261303,155706.0307188,0.0000000,156121.8568492
"17","9",415.8261303,155706.0307188,0.0000000,156121.8568492
"17","14",415.8261303,155706.0307188,0.0000000,156121.8568492
"17","15",415.8261303,155706.0307188,0.0000000,156121.8568492
"17","12",415.8261303,155706.0307188,0.0000000,156121.8568492
"17","13",415.8261303,155706.0307188,0.0000000,156121.8568492
"22","18",415.8261303,155706.0307188,0.0000000,156121.8568492
"22","19",415.8261303,155706.0307188,0.0000000,156121.8568492
"22","16",415.8261303,155706.0307188,0.0000000,156121.8568492
"22","17",415.8261303,155706.0307188,0.0000000,156121.8568492
"22","22",415.8261303,0.0000000,0.0000000,156121.8568492
"22","23",415.8261303,0.0000000,0.0000000,156121.8568492
"22","20",415.8261303,0.0000000,0.0000000,156121.8568492
"22","21",415.8261303,0.0000000,0.0000000,156121.8568492
"22","26",415.8261303,0.0000000,0.0000000,156121.8568492
"22","24",415.8261303,0.0000000,0.0000000,156121.8568492
"22","25",415.8261303,0.0000000,0.0000000,156121.8568492
"22","2",415.8261303,0.0000000,0.0000000,156121.8568492
"22","3",415.8261303,0.0000000,0.0000000,156121.8568492
"22","1",415.8261303,0.0000000,0.0000000,156121.8568492
"22","6",415.8261303,0.0000000,0.0000000,156121.8568492
"22","7",415.8261303,0.0000000,0.0000000,156121.8568492
"22","4",415.8261303,0.0000000,0.0000000,156121.8568492
"22","5",415.8261303,0.0000000,0.0000000,156121.8568492
"22","10",415.8261303,0.0000000,0.0000000,156121.8568492
"22","11",415.8261303,0.0000000,0.0000000,156121.8568492
"22","8",415.8261303,0.0000000,0.0000000,156121.8568492
"22","9",415.8261303,0.0000000,0.0000000,156121.8568492
"22","14",415.8261303,0.0000000,0.0000000,156121.8568492
"22","15",415.8261303,0.0000000,0.0000000,156121.8568492
"22","12",415.8261303,0.0000000,0.0000000,156121.8568492
"22","13",415.8261303,0.0000000,0.0000000,156121.8568492
"23","18",415.8261303,0.0000000,0.0000000,156121.8568492
"23","19",415.8261303,0.0000000,0.0000000,156121.8568492
"23","16",415.8261303,0.0000000,0.0000000,156121.8568492
"23","17",415.8261303,0.0000000,0.0000000,156121.8568492
"23","22",415.8261303,0.0000000,0.0000000,156121.8568492
"23","23",415.8261303,0.0000000,0.0000000,156121.8568492
"23","20",415.8261303,0.0000000,0.0000000,156121.8568492
"23","21",415.8261303,0.0000000,0.0000000,156121.8568492
"23","26",415.8261303,0.0000000,0.0000000,156121.8568492
"23","24",415.8261303,0.0000000,0.0000000,156121.8568492
"23","25",415.8261303,0.0000000,0.0000000,156121.8568492
"23","2",415.8261303,0.0000000,0.0000000,156121.8568492
"23","3",415.8261303,0.0000000,0.0000000,156121.8568492
"23","1",415.8261303,0.0000000,0.0000000,156121.8568492
"23","6",415.8261303,0.0000000,0.0000000,156121.8568492
"23","7",415.8261303,0.0000000,0.0000000,156121.8568492
"23","4",415.8261303,0.0000000,0.0000000,156121.8568492
"23","5",415.8261303,0.0000000,0.0000000,156121.8568492
"23","10",415.8261303,0.0000000,0.0000000,156121.8568492
"23","11",415.8261303,0.0000000,0.0000000,156121.8568492
"23","8",415.8261303,0.0000000,0.0000000,156121.8568492
"23","9",415.8261303,0.0000000,0.0000000,156121.8568492
"23","14",415.8261303,0.0000000,0.0000000,156121.8568492
"23","15",0.0000000,90500.0815406,0.0000000,90500.0815406
"23","12",0.0000000,90500.0815406,0.0000000,90500.0815406
"23","13",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","18",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","19",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","16",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","17",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","22",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","23",0.0000000,90500.0815406,0.0000000,90500.0815406
"20","20",0.0000000,0.0000000,0.0000000,90500.0815406
"20","21",0.0000000,0.0000000,0.0000000,90500.0815406
"20","26",0.0000000,0.0000000,0.0000000,90500.0815406
"20","24",0.0000000,0.0000000,0.0000000,90500.0815406
"20","25",0.0000000,0.0000000,0.0000000,90500.0815406
"20","2",0.0000000,0.0000000,0.0000000,90500.0815406
"20","3",0.0000000,0.0000000,0.0000000,90500.0815406
"20","1",0.0000000,0.0000000,0.0000000,90500.0815406
