origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"18","18",,0.0000000,,
"18","19",,0.0000000,,
"18","16",,0.0000000,,
"18","17",30.1064169,58046.5619874,416.3075177,58492.9759220
"18","22",30.1064169,58046.5619874,416.3075177,58492.9759220
"18","23",30.1064169,180535.6362863,0.0000000,180565.7427032
"18","20",30.1064169,180535.6362863,0.0000000,180565.7427032
"18","21",30.1064169,180535.6362863,0.0000000,180565.7427032
"18","26",30.1064169,180535.6362863,0.0000000,180565.7427032
"18","24",30.1064169,12584.7730226,109.5902272,12724.4696667
"18","25",30.1064169,97185.8820111,45.4767248,97261.4651528
"18","2",30.1064169,97185.8820111,45.4767248,97261.4651528
"18","3",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","1",30.1064169,84536.0434525,151.5558456,84717.7057150
"18","6",30.1064169,197666.3794900,352.8446337,198049.3305406
"18","7",30.1064169,296539.2567799,0.0000000,296569.3631968
"18","4",30.1064169,296539.2567799,0.0000000,296569.3631968
"18","5",30.1064169,31162.4516724,427.1574403,31619.7155296
"18","10",30.1064169,31162.4516724,427.1574403,31619.7155296
"18","11",30.1064169,139178.9382401,0.0000000,139209.0446570
"18","8",30.1064169,79460.4392851,45.2610961,79535.8067981
"18","9",30.1064169,79460.4392851,45.2610961,79535.8067981
"18","14",30.1064169,142648.6999272,0.0000000,142678.8063441
"18","15",30.1064169,267400.6413676,0.0000000,267430.7477845
"18","12",30.1064169,267400.6413676,0.0000000,267430.7477845
"18","13",30.1064169,57580.5490519,24.8670046,57635.5224734
"19","18",30.1064169,57580.5490519,24.8670046,57635.5224734
"19","19",30.1064169,0.0000000,24.8670046,57635.5224734
"19","16",30.1064169,0.0000000,24.8670046,57635.5224734
"19","17",30.1064169,0.0000000,24.8670046,57635.5224734
"19","22",30.1064169,0.0000000,24.8670046,57635.5224734
"19","23",30.1064169,0.0000000,24.8670046,57635.5224734
"19","20",30.1064169,0.0000000,24.8670046,57635.5224734
"19","21",30.1064169,0.0000000,24.8670046,57635.5224734
"19","26",30.1064169,0.0000000,24.8670046,57635.5224734
"19","24",30.1064169,0.0000000,24.8670046,57635.5224734
"19","25",30.1064169,0.0000000,24.8670046,57635.5224734
"19","2",30.1064169,0.0000000,24.8670046,57635.5224734
"19","3",30.1064169,0.0000000,24.8670046,57635.5224734
"19","1",30.1064169,0.0000000,24.8670046,57635.5224734
"19","6",30.1064169,0.0000000,24.8670046,57635.5224734
"19","7",30.1064169,0.0000000,24.8670046,57635.5224734
"19","4",30.1064169,0.0000000,24.8670046,57635.5224734
"19","5",30.1064169,0.0000000,24.8670046,57635.5224734
"19","10",30.1064169,0.0000000,24.8670046,57635.5224734
"19","11",30.1064169,0.0000000,24.8670046,57635.5224734
"19","8",30.1064169,0.0000000,24.8670046,57635.5224734
"19","9",30.1064169,0.0000000,24.8670046,57635.5224734
"19","14",30.1064169,0.0000000,24.8670046,57635.5224734
"19","15",30.1064169,0.0000000,24.8670046,57635.5224734
"19","12",30.1064169,0.0000000,24.8670046,57635.5224734
"19","13",30.1064169,0.0000000,24.8670046,57635.5224734
"16","18",30.1064169,0.0000000,24.8670046,57635.5224734
"16","19",30.1064169,0.0000000,24.8670046,57635.5224734
"16","16",30.1064169,0.0000000,24.8670046,57635.5224734
"16","17",30.1064169,0.0000000,24.8670046,57635.5224734
"16","22",30.1064169,0.0000000,24.8670046,57635.5224734
"16","23",30.1064169,0.0000000,24.8670046,57635.5224734
"16","20",30.1064169,0.0000000,24.8670046,57635.5224734
"16","21",30.1064169,0.0000000,24.8670046,57635.5224734
"16","26",30.1064169,0.0000000,24.8670046,57635.5224734
"16","24",30.1064169,0.0000000,24.8670046,57635.5224734
"16","25",30.1064169,0.0000000,24.8670046,57635.5224734
"16","2",30.1064169,0.0000000,24.8670046,57635.5224734
"16","3",30.1064169,0.0000000,24.8670046,57635.5224734
"16","1",30.1064169,0.0000000,24.8670046,57635.5224734
"16","6",30.1064169,0.0000000,24.8670046,57635.5224734
"16","7",30.1064169,0.0000000,24.8670046,57635.5224734
"16","4",30.1064169,0.0000000,24.8670046,57635.5224734
"16","5",30.1064169,0.0000000,24.8670046,57635.5224734
"16","10",30.1064169,0.0000000,24.8670046,57635.5224734
"16","11",30.1064169,0.0000000,24.8670046,57635.5224734
"16","8",30.1064169,0.0000000,24.8670046,57635.5224734
"16","9",30.1064169,0.0000000,24.8670046,57635.5224734
"16","14",30.1064169,0.0000000,24.8670046,57635.5224734
"16","15",30.1064169,0.0000000,24.8670046,57635.5224734
"16","12",30.1064169,0.0000000,24.8670046,57635.5224734
"16","13",30.1064169,0.0000000,24.8670046,57635.5224734
"17","18",416.3075177,58046.5619874,30.1064169,58492.9759220
"17","19",416.3075177,58046.5619874,30.1064169,58492.9759220
"17","16",416.3075177,58046.5619874,30.1064169,58492.9759220
"17","17",416.3075177,0.0000000,30.1064169,58492.9759220
"17","22",416.3075177,0.0000000,30.1064169,58492.9759220
"17","23",416.3075177,122489.0742989,0.0000000,122905.3818166
"17","20",416.3075177,122489.0742989,0.0000000,122905.3818166
"17","21",416.3075177,122489.0742989,0.0000000,122905.3818166
"17","26",416.3075177,122489.0742989,0.0000000,122905.3818166
"17","24",416.3075177,46642.1682468,109.5902272,47168.0659916
"17","25",416.3075177,116220.1981320,45.4767248,116681.9823745
"17","2",416.3075177,116220.1981320,45.4767248,116681.9823745
"17","3",416.3075177,87571.7765742,151.5558456,88139.6399375
"17","1",416.3075177,87571.7765742,151.5558456,88139.6399375
"17","6",416.3075177,139619.8175026,352.8446337,140388.9696540
"17","7",416.3075177,238492.6947924,0.0000000,238909.0023101
"17","4",416.3075177,238492.6947924,0.0000000,238909.0023101
"17","5",416.3075177,28177.3837523,427.1574403,29020.8487102
"17","10",416.3075177,28177.3837523,427.1574403,29020.8487102
"17","11",416.3075177,155701.7853523,0.0000000,156118.0928700
"17","8",416.3075177,98494.7554060,45.2610961,98956.3240198
"17","9",416.3075177,98494.7554060,45.2610961,98956.3240198
"17","14",416.3075177,84602.1379398,0.0000000,85018.4454575
"17","15",416.3075177,209354.0793801,0.0000000,209770.3868978
"17","12",416.3075177,209354.0793801,0.0000000,209770.3868978
"17","13",416.3075177,60616.2821736,24.8670046,61057.4566958
"22","18",416.3075177,60616.2821736,24.8670046,61057.4566958
"22","19",416.3075177,60616.2821736,24.8670046,61057.4566958
"22","16",416.3075177,60616.2821736,24.8670046,61057.4566958
"22","17",416.3075177,60616.2821736,24.8670046,61057.4566958
"22","22",416.3075177,0.0000000,24.8670046,61057.4566958
"22","23",416.3075177,0.0000000,24.8670046,61057.4566958
"22","20",416.3075177,0.0000000,24.8670046,61057.4566958
"22","21",416.3075177,0.0000000,24.8670046,61057.4566958
"22","26",416.3075177,0.0000000,24.8670046,61057.4566958
"22","24",416.3075177,0.0000000,24.8670046,61057.4566958
"22","25",416.3075177,0.0000000,24.8670046,61057.4566958
"22","2",416.3075177,0.0000000,24.8670046,61057.4566958
"22","3",416.3075177,0.0000000,24.8670046,61057.4566958
"22","1",416.3075177,0.0000000,24.8670046,61057.4566958
"22","6",416.3075177,0.0000000,24.8670046,61057.4566958
"22","7",416.3075177,0.0000000,24.8670046,61057.4566958
"22","4",416.3075177,0.0000000,24.8670046,61057.4566958
"22","5",416.3075177,0.0000000,24.8670046,61057.4566958
"22","10",416.3075177,0.0000000,24.8670046,61057.4566958
"22","11",416.3075177,0.0000000,24.8670046,61057.4566958
"22","8",416.3075177,0.0000000,24.8670046,61057.4566958
"22","9",416.3075177,0.0000000,24.8670046,61057.4566958
"22","14",416.3075177,0.0000000,24.8670046,61057.4566958
"22","15",416.3075177,0.0000000,24.8670046,61057.4566958
"22","12",416.3075177,0.0000000,24.8670046,61057.4566958
"22","13",416.3075177,0.0000000,24.8670046,61057.4566958
"23","18",0.0000000,180535.6362863,30.1064169,180565.7427032
"23","19",0.0000000,180535.6362863,30.1064169,180565.7427032
"23","16",0.0000000,180535.6362863,30.1064169,180565.7427032
"23","17",0.0000000,122489.0742989,416.3075177,122905.3818166
"23","22",0.0000000,122489.0742989,416.3075177,122905.3818166
"23","23",0.0000000,0.0000000,416.3075177,122905.3818166
"23","20",0.0000000,0.0000000,416.3075177,122905.3818166
"23","21",0.0000000,0.0000000,416.3075177,122905.3818166
"23","26",0.0000000,0.0000000,416.3075177,122905.3818166
"23","24",0.0000000,169131.2425457,109.5902272,169240.8327728
"23","25",0.0000000,238709.2724309,45.4767248,238754.7491557
"23","2",0.0000000,238709.2724309,45.4767248,238754.7491557
"23","3",0.0000000,210060.8508730,151.5558456,210212.4067187
"23","1",0.0000000,210060.8508730,151.5558456,210212.4067187
"23","6",0.0000000,136922.4164301,352.8446337,137275.2610639
"23","7",0.0000000,269007.3376847,0.0000000,269007.3376847
"23","4",0.0000000,269007.3376847,0.0000000,269007.3376847
"23","5",0.0000000,150666.4580511,427.1574403,151093.6154914
"23","10",0.0000000,150666.4580511,427.1574403,151093.6154914
"23","11",0.0000000,278190.8596512,0.0000000,278190.8596512
"23","8",0.0000000,220983.8297049,45.2610961,221029.0908010
"23","9",0.0000000,220983.8297049,45.2610961,221029.0908010
"23","14",0.0000000,120739.5033666,0.0000000,120739.5033666
"23","15",0.0000000,90500.0815406,0.0000000,90500.0815406
"23","12",0.0000000,90500.0815406,0.0000000,90500.0815406
"23","13",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","18",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","19",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","16",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","17",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","22",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","23",0.0000000,183105.3564725,24.8670046,183130.2234771
"20","20",0.0000000,0.0000000,24.8670046,183130.2234771
"20","21",0.0000000,0.0000000,24.8670046,183130.2234771
"20","26",0.0000000,0.0000000,24.8670046,183130.2234771
"20","24",0.0000000,0.0000000,24.8670046,183130.2234771
